Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00000,="12:32:22.898",0x478845E,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 4B A7 00 07 
00001,="12:32:22.898",0x4788464,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
00002,="12:32:22.898",0x478846A,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00003,="12:32:22.989",0x4788844,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 4A D4 00 07 
00004,="12:32:22.989",0x478884A,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
00005,="12:32:22.989",0x4788850,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00006,="12:32:23.079",0x4788C2B,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 4A E8 00 07 
00007,="12:32:23.079",0x4788C31,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
00008,="12:32:23.079",0x4788C37,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00009,="12:32:23.199",0x4789013,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 4A F2 00 07 
00010,="12:32:23.199",0x4789019,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
00011,="12:32:23.199",0x478901F,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00012,="12:32:23.289",0x47893FA,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 4B F6 00 07 
00013,="12:32:23.289",0x4789400,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
