Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00000,="15:09:24.449",0xA89E65,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00001,="15:09:24.449",0xA89E6A,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00002,="15:09:24.449",0xA89E70,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C AA 00 07 
00003,="15:09:24.449",0xA89F9F,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FB 00 07 
00004,="15:09:24.449",0xA89FA5,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00005,="15:09:24.449",0xA89FAA,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00006,="15:09:24.564",0xA8A386,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B FB 00 07 
00007,="15:09:24.564",0xA8A38B,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00008,="15:09:24.564",0xA8A391,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00009,="15:09:24.654",0xA8A76D,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
00010,="15:09:24.654",0xA8A772,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00011,="15:09:24.654",0xA8A778,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00012,="15:09:24.744",0xA8AB54,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FB 00 07 
00013,="15:09:24.744",0xA8AB59,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00014,="15:09:24.744",0xA8AB5F,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00015,="15:09:24.864",0xA8AF3B,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FB 00 07 
00016,="15:09:24.864",0xA8AF40,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00017,="15:09:24.864",0xA8AF46,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00018,="15:09:24.954",0xA8B321,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
00019,="15:09:24.954",0xA8B327,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00020,="15:09:24.954",0xA8B32D,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00021,="15:09:25.044",0xA8B708,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FB 00 07 
00022,="15:09:25.044",0xA8B70E,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00023,="15:09:25.044",0xA8B714,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00024,="15:09:25.164",0xA8BAEF,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
00025,="15:09:25.164",0xA8BAF5,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00026,="15:09:25.164",0xA8BAFB,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00027,="15:09:25.254",0xA8BED6,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FB 00 07 
00028,="15:09:25.254",0xA8BEDC,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00029,="15:09:25.254",0xA8BEE2,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00030,="15:09:25.344",0xA8C2BD,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B FB 00 07 
00031,="15:09:25.344",0xA8C2C3,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00032,="15:09:25.344",0xA8C2C9,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00033,="15:09:25.465",0xA8C6A4,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B FB 00 07 
00034,="15:09:25.465",0xA8C6AA,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00035,="15:09:25.465",0xA8C6B0,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00036,="15:09:25.554",0xA8CA8A,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FB 00 07 
00037,="15:09:25.554",0xA8CA90,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00038,="15:09:25.554",0xA8CA96,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00039,="15:09:25.644",0xA8CE72,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4B FB 00 07 
00040,="15:09:25.644",0xA8CE78,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00041,="15:09:25.644",0xA8CE7D,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00042,="15:09:25.764",0xA8D259,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 61 4B FB 00 07 
00043,="15:09:25.764",0xA8D25F,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00044,="15:09:25.764",0xA8D264,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00045,="15:09:25.854",0xA8D640,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B FA 00 07 
00046,="15:09:25.854",0xA8D645,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00047,="15:09:25.854",0xA8D64B,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00048,="15:09:25.944",0xA8DA27,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FB 00 07 
00049,="15:09:25.944",0xA8DA2C,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00050,="15:09:25.944",0xA8DA32,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00051,="15:09:26.064",0xA8DE0E,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4B FB 00 07 
00052,="15:09:26.064",0xA8DE13,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00053,="15:09:26.064",0xA8DE19,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00054,="15:09:26.154",0xA8E1F4,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FB 00 07 
00055,="15:09:26.154",0xA8E1FA,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00056,="15:09:26.154",0xA8E200,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00057,="15:09:26.244",0xA8E5DB,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
00058,="15:09:26.244",0xA8E5E1,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00059,="15:09:26.244",0xA8E5E7,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
