Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00051,="12:45:40.418",0x4F20D64,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 64 4A A1 00 07 
00052,="12:45:40.418",0x4F20D6A,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00053,="12:45:40.418",0x4F20D70,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00054,="12:45:40.510",0x4F2114A,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4A D2 00 07 
00055,="12:45:40.510",0x4F2114F,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00056,="12:45:40.510",0x4F21155,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00057,="12:45:40.629",0x4F21531,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4A E7 00 07 
00058,="12:45:40.629",0x4F21536,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00059,="12:45:40.629",0x4F2153C,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00060,="12:45:40.718",0x4F21918,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4A F1 00 07 
00061,="12:45:40.718",0x4F2191E,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00062,="12:45:40.718",0x4F21924,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00063,="12:45:40.808",0x4F21CFF,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4B F6 00 07 
00064,="12:45:40.808",0x4F21D05,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00065,="12:45:40.808",0x4F21D0B,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00066,="12:45:40.929",0x4F220E7,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4A F8 00 07 
00067,="12:45:40.929",0x4F220ED,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00068,="12:45:40.929",0x4F220F2,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00069,="12:45:41.019",0x4F224CE,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4A F9 00 07 
00070,="12:45:41.019",0x4F224D3,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00071,="12:45:41.019",0x4F224D9,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00072,="12:45:41.109",0x4F228B5,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4A F9 00 07 
00073,="12:45:41.109",0x4F228BA,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00074,="12:45:41.109",0x4F228C0,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00075,="12:45:41.228",0x4F22C9C,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4A F9 00 07 
00076,="12:45:41.228",0x4F22CA1,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00077,="12:45:41.228",0x4F22CA7,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
00078,="12:45:41.319",0x4F23082,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4A FA 00 07 
00079,="12:45:41.319",0x4F23088,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00080,="12:45:41.319",0x4F2308E,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
