Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
01440,="15:13:15.684",0xCBD8CE,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01441,="15:13:15.684",0xCBD8D4,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01442,="15:14:43.722",-,ch1,Send,0x0727,Data,Standard,0x08,x| 01 00 1E 00 01 00 00 00 
01443,="15:14:57.591",-,ch1,Send,0x0727,Data,Standard,0x08,x| 01 00 1E 00 01 00 00 00 
01444,="15:15:10.661",-,ch1,Send,0x0727,Remote,Standard,0x08,
01445,="15:15:14.187",-,ch1,Send,0x0727,Data,Standard,0x08,x| 01 00 1E 00 01 00 00 00 
01446,="15:15:18.023",-,ch1,Send,0x18E03F27,Data,Extended,0x08,x| 01 00 1E 00 01 00 00 00 
01447,="15:16:45.850",-,ch1,Send,0x18E03F27,Data,Extended,0x08,x| 01 B8 0B 01 00 00 00 00 
01448,="15:17:07.645",0xEF302C,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C B9 00 07 
01449,="15:17:07.645",0xEF3032,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01450,="15:17:07.645",0xEF3038,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01451,="15:17:07.734",0xEF3412,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C DD 00 07 
01452,="15:17:07.734",0xEF3418,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01453,="15:17:07.734",0xEF341E,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01454,="15:17:07.854",0xEF37F9,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D EC 00 07 
01455,="15:17:07.854",0xEF37FF,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01456,="15:17:07.854",0xEF3805,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01457,="15:17:07.944",0xEF3BE1,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D F3 00 07 
01458,="15:17:07.944",0xEF3BE7,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01459,="15:17:07.944",0xEF3BEC,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01460,="15:17:08.034",0xEF3FC8,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D F7 00 07 
01461,="15:17:08.034",0xEF3FCE,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01462,="15:17:08.064",0xEF3FD3,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01463,="15:17:08.154",0xEF43AF,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D F9 00 07 
01464,="15:17:08.154",0xEF43B5,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01465,="15:17:08.154",0xEF43BB,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01466,="15:17:08.244",0xEF4796,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D F9 00 07 
01467,="15:17:08.244",0xEF479C,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01468,="15:17:08.244",0xEF47A2,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01469,="15:17:08.333",0xEF4B7D,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FA 00 07 
01470,="15:17:08.364",0xEF4B83,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01471,="15:17:08.364",0xEF4B89,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01472,="15:17:08.453",0xEF4F64,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FA 00 07 
01473,="15:17:08.453",0xEF4F6A,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01474,="15:17:08.453",0xEF4F70,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01475,="15:17:08.544",0xEF534B,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FA 00 07 
01476,="15:17:08.544",0xEF5351,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01477,="15:17:08.544",0xEF5356,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01478,="15:17:08.634",0xEF5732,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FA 00 07 
01479,="15:17:08.634",0xEF5737,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01480,="15:17:08.664",0xEF573D,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01481,="15:17:08.754",0xEF5B19,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FA 00 07 
01482,="15:17:08.754",0xEF5B1F,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01483,="15:17:08.754",0xEF5B25,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01484,="15:17:08.844",0xEF5F00,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FA 00 07 
01485,="15:17:08.844",0xEF5F05,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01486,="15:17:08.844",0xEF5F0B,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01487,="15:17:08.935",0xEF62E7,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FA 00 07 
01488,="15:17:08.935",0xEF62EC,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01489,="15:17:08.935",0xEF62F2,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01490,="15:17:09.054",0xEF66CE,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FA 00 07 
01491,="15:17:09.054",0xEF66D3,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01492,="15:17:09.054",0xEF66D9,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01493,="15:17:09.144",0xEF6AB4,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FA 00 07 
01494,="15:17:09.144",0xEF6ABA,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01495,="15:17:09.144",0xEF6AC0,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01496,="15:17:09.235",0xEF6E9B,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FA 00 07 
01497,="15:17:09.235",0xEF6EA1,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01498,="15:17:09.264",0xEF6EA7,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01499,="15:17:09.355",0xEF7282,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
01500,="15:17:09.355",0xEF7288,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01501,="15:17:09.355",0xEF728E,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01502,="15:17:09.357",-,ch1,Send,0x18E03F27,Data,Extended,0x08,x| 01 B8 0B 01 00 00 00 00 
01503,="15:17:09.444",0xEF7669,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FB 00 07 
01504,="15:17:09.444",0xEF766F,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01505,="15:17:09.444",0xEF7675,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01506,="15:17:09.535",0xEF7A50,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FB 00 07 
01507,="15:17:09.535",0xEF7A56,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01508,="15:17:09.564",0xEF7A5C,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01509,="15:17:09.654",0xEF7E37,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FA 00 07 
01510,="15:17:09.654",0xEF7E3D,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01511,="15:17:09.654",0xEF7E43,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01512,="15:17:09.744",0xEF821E,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FB 00 07 
01513,="15:17:09.744",0xEF8224,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01514,="15:17:09.744",0xEF8229,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01515,="15:17:09.835",0xEF8605,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FA 00 07 
01516,="15:17:09.835",0xEF860B,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01517,="15:17:09.835",0xEF8610,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01518,="15:17:09.955",0xEF89EC,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
01519,="15:17:09.955",0xEF89F2,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01520,="15:17:09.955",0xEF89F7,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01521,="15:17:10.044",0xEF8DD3,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FB 00 07 
01522,="15:17:10.044",0xEF8DD9,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01523,="15:17:10.044",0xEF8DDE,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01524,="15:17:10.135",0xEF91BA,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FB 00 07 
01525,="15:17:10.135",0xEF91BF,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01526,="15:17:10.164",0xEF91C5,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01527,="15:17:10.253",0xEF95A1,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FB 00 07 
01528,="15:17:10.253",0xEF95A6,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01529,="15:17:10.253",0xEF95AC,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01530,="15:17:10.344",0xEF9987,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FA 00 07 
01531,="15:17:10.344",0xEF998D,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01532,="15:17:10.344",0xEF9993,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01533,="15:17:10.464",0xEF9D6F,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FA 00 07 
01534,="15:17:10.464",0xEF9D74,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01535,="15:17:10.464",0xEF9D7A,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01536,="15:17:10.554",0xEFA155,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FB 00 07 
01537,="15:17:10.554",0xEFA15B,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01538,="15:17:10.554",0xEFA161,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01539,="15:17:10.644",0xEFA53C,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FA 00 07 
01540,="15:17:10.644",0xEFA542,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01541,="15:17:10.644",0xEFA548,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01542,="15:17:10.690",-,ch1,Send,0x18E03F27,Data,Extended,0x08,x| 01 B8 0B 01 00 00 00 00 
01543,="15:17:10.764",0xEFA923,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
01544,="15:17:10.764",0xEFA929,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01545,="15:17:10.764",0xEFA92F,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01546,="15:17:10.854",0xEFAD0A,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FB 00 07 
01547,="15:17:10.854",0xEFAD10,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01548,="15:17:10.854",0xEFAD16,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01549,="15:17:10.944",0xEFB0F1,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
01550,="15:17:10.944",0xEFB0F6,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01551,="15:17:10.944",0xEFB0FC,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01552,="15:17:11.064",0xEFB4D8,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FA 00 07 
01553,="15:17:11.064",0xEFB4DE,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
