Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
02052,="15:32:46.494",0x17E40BC,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D BD 00 07 
02053,="15:32:46.494",0x17E40C2,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
02054,="15:32:46.494",0x17E40C7,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
02055,="15:32:46.615",0x17E44A1,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4B EE 00 07 
02056,="15:32:46.615",0x17E44A7,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
02057,="15:32:46.615",0x17E44AD,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
02058,="15:32:46.704",0x17E4888,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B 04 01 07 
02059,="15:32:46.704",0x17E488E,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
02060,="15:32:46.704",0x17E4894,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
02061,="15:32:46.794",0x17E4C71,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B 0F 01 07 
02062,="15:32:46.794",0x17E4C76,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
02063,="15:32:46.794",0x17E4C7C,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
02064,="15:32:46.914",0x17E5057,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D 13 01 07 
02065,="15:32:46.914",0x17E505D,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
02066,="15:32:46.914",0x17E5063,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
02067,="15:32:47.004",0x17E543E,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D 16 01 07 
02068,="15:32:47.004",0x17E5444,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
02069,="15:32:47.004",0x17E544A,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
02070,="15:32:47.094",0x17E5825,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B 17 01 07 
