Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
0,32:00.2,0x2508B3E,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 4A AE 00 07 
1,32:00.2,0x2508B43,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
2,32:00.2,0x2508B49,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
3,32:00.3,0x2508F23,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 49 E2 00 07 
4,32:00.3,0x2508F29,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
5,32:00.3,0x2508F2F,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
6,32:00.4,0x250930A,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 4A FA 00 07 
7,32:00.4,0x2509310,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
8,32:00.4,0x2509316,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
9,32:00.5,0x25096F2,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 4A 04 01 07 
10,32:00.5,0x25096F8,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
11,32:00.5,0x25096FE,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
12,32:00.6,0x2509AD9,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 49 08 01 07 
13,32:00.6,0x2509ADF,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
14,32:00.6,0x2509AE5,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
15,32:00.7,0x2509EC0,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 F0 4A 0B 01 07 
16,32:00.7,0x2509EC6,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 04 00 00 00 00 00 00 00 
