Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
01718,="15:30:19.599",-,ch1,Send,0x18E02F27,Data,Extended,0x08,x| 01 E8 03 01 00 00 00 00 
01719,="15:30:27.114",0x1690474,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4B AC 00 07 
01720,="15:30:27.114",0x169047A,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01721,="15:30:27.114",0x1690480,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01722,="15:30:27.204",0x169085A,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C D6 00 07 
01723,="15:30:27.204",0x169085F,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01724,="15:30:27.204",0x1690865,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01725,="15:30:27.294",0x1690C41,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C E9 00 07 
01726,="15:30:27.294",0x1690C46,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01727,="15:30:27.324",0x1690C4C,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01728,="15:30:27.413",0x1691029,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B F2 00 07 
01729,="15:30:27.413",0x169102F,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01730,="15:30:27.413",0x1691034,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01731,="15:30:27.504",0x169140F,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C F6 00 07 
01732,="15:30:27.504",0x1691415,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01733,="15:30:27.504",0x169141B,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01734,="15:30:27.594",0x16917F7,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4B F8 00 07 
01735,="15:30:27.594",0x16917FD,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01736,="15:30:27.624",0x1691802,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01737,="15:30:27.714",0x1691BDE,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B F9 00 07 
01738,="15:30:27.714",0x1691BE3,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01739,="15:30:27.714",0x1691BE9,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01740,="15:30:27.804",0x1691FC5,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FA 00 07 
01741,="15:30:27.804",0x1691FCA,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01742,="15:30:27.804",0x1691FD0,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01743,="15:30:27.894",0x16923AC,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FA 00 07 
01744,="15:30:27.924",0x16923B1,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01745,="15:30:27.924",0x16923B7,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01746,="15:30:28.015",0x1692792,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4B FA 00 07 
01747,="15:30:28.015",0x1692798,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01748,="15:30:28.015",0x169279E,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01749,="15:30:28.105",0x1692B79,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FA 00 07 
01750,="15:30:28.105",0x1692B7F,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
